date,description,year
2015-05-29,Emirati CEO emails Epstein requesting connection to Elon Musk.,2015
2016-01-01,"Ongoing Epstein unseals expose MIT/elite tech ties (Gates, Hoffman donations).",2016
2017-11-27,Planned lunch with Peter Thiel noted in Epstein's schedule.,2017
2019-02-16,Breakfast with Steve Bannon noted in Epstein's schedule.,2019
2019-07-02,"Maxwell arrested on Epstein conspiracy charges, sparking unseals.",2019
2019-07-06,Epstein arrested at Teterboro Airport upon return from France.,2019
2019-07-07,Facilities assistant emails Psychology Dept about Epstein access removal.,2019
2019-07-08,Epstein arraigned in federal court per records.,2019
2020-07-02,"Maxwell arrested, sparking further unseals and elite probes.",2020
2020-09-19,Trump approves Oracle-Walmart TikTok bid as trusted US tech partner.,2020
2020-09-25,TikTok Global setup with Oracle stake; board approvals.,2020
2024-03-28,Epstein island visitor leaks; Musk loosely tied via data brokers.,2024
2024-11-12,"House Oversight releases 20,000 records from Epstein estate, including emails.",2024
2024-12-01,Oracle deepens AI custody with OpenAI cloud deals and Ampere acquisition.,2024
2025-04-24,Biden signs TikTok divestiture law (sell or ban by Jan 2026).,2025
2025-06-05,"Musk exits DOGE, claims Trump in Epstein files suppressing release.",2025
2025-06-06,"White House/DOJ downplays files, cites seals amid Musk claims.",2025
2025-06-07,"Musk deletes posts, expresses regret over Epstein claims.",2025
2025-06-11,Musk apologizes for posts claiming Trump in Epstein files.,2025
2025-07-07,"DOJ memo states no client list, no murder evidence.",2025
2025-09-25,Trump EO certifies Oracle as TikTok US trusted security partner.,2025
2025-09-26,Democrats release Epstein docs mentioning Musk island trip (denied).,2025
2025-09-27,"Netanyahu calls social media ""ultimate weapon,"" names TikTok/X, plans Musk talks.",2025
2025-11-12,"Democrats release 20,000 Epstein estate records, including emails.",2025
2025-11-18,House passes Epstein Files Transparency Act (427-1 vote).,2025
2025-12-17,Timeline of Epstein records releases; political roil continues.,2025
2025-12-18,TikTok signs deal to sell US unit to Oracle-led group.,2025
2025-12-19,"DOJ releases partial Epstein files with redactions (13,000+ docs).",2025
2025-12-20,"DOJ releases additional tranche, including grand jury materials.",2025
